PLAYER,TEAM,CONFERENCE,POSITION,LEAGUE,GP,PPG,RPG,APG,SPG,BPG,TPG,PA,PF,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
Lord,Toronto Terror,Eastern,N/A,EBA,5,9.4,1.2,0.6,0.2,0,0.6,0,0.6,2.6,3.6,3.4,4.8,5,0
GeeSelm,Toronto Terror,Eastern,N/A,EBA,9,13.889,2.667,11.889,0.444,0,2,0,0.222,2.667,5,4.556,7.778,9,0
chris,Toronto Terror,Eastern,N/A,EBA,5,7.6,1.2,0.8,0.2,0,0.4,0,0.6,1.2,1.6,3.2,3.6,5,0
CardiBFan41,Free Agents,N/A,N/A,EBA,3,2.667,0.333,0,0,0,0.333,0,0,0.667,2,1,2.333,2,1
valk,Free Agents,N/A,N/A,EBA,4,3.5,1,0.5,0,0.25,0.5,0,0,1,1,1.25,1.5,0,4
vecolt,Toronto Terror,Eastern,N/A,EBA,5,23.6,2.4,7,0.4,0,1,0,0.2,5.4,6.6,8,10,5,0
Jama,Houston Hornets,Western,N/A,EBA,9,16.333,3.889,1.222,0.111,1.333,1.778,0,0.333,4,5.222,6,7.778,6,3
SenseiNeo,Houston Hornets,Western,N/A,EBA,3,9,0.667,0.333,0,0.667,0.333,0,0,3,3,3,3.333,2,1
menoish,Chicago Aces,Eastern,N/A,EBA,4,5.5,1.5,2.75,0,0.5,1.25,0,1.75,1,1.25,2,3.25,4,0
yso,Free Agents,N/A,N/A,EBA,8,15.5,1.875,1.875,0.375,0,1.375,0,0.625,3.625,6,5.5,8.625,5,3
xpk,Chicago Aces,Eastern,N/A,EBA,3,26.667,2,6.333,0,1,1,0,1.333,4.333,5.333,10,13,2,1
zam,Las Vegas Thrill,Western,N/A,EBA,10,16.5,2.4,2,3.9,0.1,0.6,0,1.3,4.4,5.2,5.9,7.7,7,3
Imagine,Toronto Terror,Eastern,N/A,EBA,8,9.5,1,1.75,1.5,0.125,1.375,0,1.25,2,3.25,3.375,5.25,8,0
Walter,Free Agents,N/A,N/A,EBA,3,14.333,6.333,2,0,0,1.667,0,0.333,3,6,5.667,10.667,1,2
xay,Nashville Anthem,Western,N/A,EBA,5,14.4,3,4,2.8,0.4,0.6,0,3,3,4,5.6,7.4,3,2
ledevoirkaisle,Sacramento Rage,Western,N/A,EBA,3,14.667,3.333,4.667,0.333,0,1.333,0,0,2,3,6,9.333,1,2
Bryce,Free Agents,N/A,N/A,EBA,3,36.667,0.667,3.333,0.667,0,2.333,0,0.333,8.333,11.333,14,21,1,2
joeylawliet,Free Agents,N/A,N/A,EBA,3,8.667,3.667,17.333,0,1,2.333,0,0,2,3,3.333,5.333,1,2
Brady,Free Agents,N/A,N/A,EBA,3,28.667,1.333,5.333,0,0,4.667,0,0.333,5,6,11.667,15.667,1,2
joh,Philadelphia Glory,Eastern,N/A,EBA,3,26.333,3.667,9,2.333,0,3.333,0,1.333,5.667,7.333,9.667,13.667,2,1
lorslime,Free Agents,N/A,N/A,EBA,3,24,2.333,3,0,0,1.667,0,1,5.667,7,9,12.667,1,2
Soldier Boy,Indiana Bandits,Eastern,N/A,EBA,5,16,3,5,0,1.6,1.2,0,0.8,1.6,2.8,7,11,1,4
Paragon,Sacramento Rage,Western,N/A,EBA,4,6.5,2.75,2,0,0.5,0.25,0,1.75,1,1.5,2.75,5.5,2,2
sehctn,Washington Volt,Western,N/A,EBA,5,36.6,3.2,10.2,0.2,1,3.6,0,1,7.4,12.6,14,23,2,3
RatherCallMeChris,Oregon Skyhawks,Western,N/A,EBA,3,11.333,2,4.333,0,0,1,0,1.667,2.333,5.333,4.333,9,1,2
Keen,Toronto Terror,Eastern,N/A,EBA,9,21.556,4.667,2.556,0,1.444,1.111,0,0.333,3,3.778,9.222,11.333,9,0
zCxsmic,Free Agents,N/A,N/A,EBA,5,27.8,2.2,6.8,0,0,3.2,0,0.4,8,11.8,9.6,15.2,3,2
pa1n,Portland Vipers,Western,N/A,EBA,4,15,1.25,6.5,0,0.5,1,0,0.25,2,4.75,5.25,9.75,2,2
lil von,Portland Vipers,Western,N/A,EBA,3,4.333,2.333,1,0,0,1.333,0,1.333,1,1.667,1.667,2.667,0,3
Shady,Free Agents,N/A,N/A,EBA,3,9,3.667,1.667,1.667,0,0.667,0,1.667,1.333,2,3.667,6.333,1,2
Silent Comedic,Miami Beach Kings,Eastern,N/A,EBA,3,9.333,3.333,1.667,0.667,0.333,2.333,0,0.667,0.667,1.667,4,5.667,0,3
Boom,Mexico City Aztecs,Western,N/A,EBA,5,9.2,3.4,1,0.2,3.6,0.6,0,1.6,2.8,3.4,3.2,4.2,1,4
fr0stss,Portland Vipers,Western,N/A,EBA,3,6.667,2,2.333,0,1.333,1,0,0.667,2,3,2.333,4.333,0,3
nixogen,Mexico City Aztecs,Western,N/A,EBA,7,19.571,2.429,6.857,1.286,0,3.286,0,1.571,3.143,5.857,7.286,11.143,3,4
therighster,Mexico City Aztecs,Western,N/A,EBA,7,25,4,4.571,0,1,1.143,0,0.571,2.714,4.286,10.857,15.286,3,4
4sammy,Charlotte Empire,Eastern,N/A,EBA,6,5,5.5,3.333,0,1,1.667,0,1,1,2.167,2,4.5,3,3
SupremityXO,Miami Beach Kings,Eastern,N/A,EBA,4,24.5,1,8.5,3.5,0,2.75,0,1.75,2.25,3.75,11,15.5,0,4
3xCarti,Miami Beach Kings,Eastern,N/A,EBA,5,30.2,1,4.2,0,0,1.6,0,0.6,8.2,12.2,10.6,15.8,0,5
pinkpuppyprincess222,Free Agents,N/A,N/A,EBA,3,28.667,3,7.667,1,0.333,2,0,1,3.333,6,12.667,19,1,2
ace,Free Agents,N/A,N/A,EBA,3,4.667,7,2,0,0.667,2.333,0,0.667,0.667,1.333,2,4.667,1,2
twiz,Atlanta Breeze,Eastern,N/A,EBA,6,9.667,1.833,1.833,0.167,2.167,0.833,0,1.5,2.333,3.667,3.667,6.167,4,2
hostilesuper,Atlanta Breeze,Eastern,N/A,EBA,6,15,6.167,2.667,0,0,1.667,0,1.167,2,2.667,6.667,9.5,4,2
kqco,Free Agents,N/A,N/A,EBA,3,42.667,1.667,5.333,0,0,2,0,0,6.333,9,18,27.333,1,2
Granvaleria,New York Knights,Eastern,N/A,EBA,4,7.75,3,0.5,0,1,0.25,0,0.75,1.25,1.25,3.25,4.75,3,1
94fe3t,Sacramento Rage,Western,N/A,EBA,3,9.333,1.667,1.667,0.333,1,0.667,0,1,2,3.333,3.667,6.667,1,2
nine,Free Agents,N/A,N/A,EBA,3,3,0.667,0.333,0,0.333,0.667,0,0,1,1,1,1,1,2
openthevauIts,Free Agents,N/A,N/A,EBA,3,23.333,3.667,3,0,1.333,2,0,1.667,3.333,6,9.667,14.667,2,1
royal,Baltimore Nighthawks,Eastern,N/A,EBA,3,21.667,2.333,6,0,0,1.333,0,0,3,4.333,9,14.333,1,2
KANYEISRIGHT,Baltimore Nighthawks,Eastern,N/A,EBA,5,8.6,3.6,1.6,0.4,1.4,2,0,0.8,1.6,2.4,3.2,4.8,2,3
hootwe,Orlando Supernovas,Eastern,N/A,EBA,6,5.833,3.333,2.667,1.833,1.167,0.333,0,0.667,0.833,1,2.5,3.5,3,3
Shoota,Chicago Aces,Eastern,N/A,EBA,4,24.5,1,2.75,1.5,0,1.25,0,1.5,5.25,8,9.25,14.5,3,1
revive,Baltimore Nighthawks,Eastern,N/A,EBA,5,5.6,3.6,3,0.8,0.2,1.8,0,0.8,1.6,3.4,2,5.4,2,3
