PLAYER,TEAM,CONFERENCE,POSITION,LEAGUE,GP,PPG,RPG,APG,SPG,BPG,TPG,PA,PF,3PMPG,3PAPG,FGMPG,FGAPG,WIN,LOSS
austin,Free Agents,N/A,N/A,EBA,3,12,0.667,0.667,0.333,0,0,0,0,3.333,5,4,6,1,2
kevJT,Free Agents,N/A,N/A,EBA,1,23,1,5,0,0,8,0,1,7,9,8,13,0,1
OPLockdownDefender,Atlanta Breeze,Eastern,N/A,EBA,6,25.833,1.667,1,0.167,0,0.667,0,0,7,9.5,8.667,11.167,4,2
Kazout_3,Free Agents,N/A,N/A,EBA,1,12,4,2,0,0,0,0,1,0,0,6,8,0,1
red,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mic_Hawk,Free Agents,N/A,N/A,EBA,1,13,1,2,0,0,2,0,1,4,5,4,5,0,1
sentinel,Free Agents,N/A,N/A,EBA,1,13,4,4,0,2,4,0,5,3,5,5,9,0,1
noisy boy,Free Agents,N/A,N/A,EBA,3,13,3.667,4.667,1.667,1.667,2.667,0,1,1.667,1.667,5.333,5.667,2,1
m6ly,Free Agents,N/A,N/A,EBA,2,5,4,3.5,0,1.5,0.5,0,1.5,1,1,2,2.5,1,1
Shonen,Miami Beach Kings,Eastern,N/A,EBA,1,12,0,7,0,0,1,0,0,2,3,4,7,0,1
91pts,Philadelphia Glory,Eastern,N/A,EBA,4,15,4.5,4.5,0,4.5,1.75,0,1.5,2.25,3.75,6,10.25,3,1
mpjy,Free Agents,N/A,N/A,EBA,2,19.5,0.5,4.5,0.5,0,0.5,0,0.5,5.5,7.5,7,9.5,1,1
splash,Free Agents,N/A,N/A,EBA,4,8.75,4,6.25,1.25,1.25,1.5,0,0.75,0.75,1,4,4.75,1,3
fallentruthonspotify,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sensei_Mario,Sacramento Rage,Western,N/A,EBA,1,13,5,1,0,0,1,0,0,3,5,5,7,1,0
mere_humn,Free Agents,N/A,N/A,EBA,3,2,0.667,8.333,0.333,0,1,0,0.667,0.667,1,0.667,1.667,0,3
timer,Free Agents,N/A,N/A,EBA,2,10.5,0.5,0,0,0,0,0,0,3.5,3.5,3.5,3.5,0,2
V1L1E,Free Agents,N/A,N/A,EBA,2,14,0.5,7.5,0.5,0,3,0,0,1.5,1.5,6,8.5,0,2
jonathan,Charlotte Empire,Eastern,N/A,EBA,1,32,1,9,0,0,4,0,0,8,13,12,19,0,1
Uni,Sacramento Rage,Western,N/A,EBA,2,19.5,2,2.5,0,0,0.5,0,0,5.5,5.5,7,8.5,1,1
Jj234091,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wraith,Free Agents,N/A,N/A,EBA,2,24,4,11,0.5,0,1,0,0.5,5,7.5,9,13,1,1
zhari,Free Agents,N/A,N/A,EBA,2,10,4,1.5,0,1.5,1,0,0,2,2,4,4,1,1
BasicHuman,Minnesota Huskies,Eastern,N/A,EBA,3,10.333,1.333,1,0.667,0.333,0,0,0,1.667,2,4.333,6,1,2
Smoov1e,Portland Vipers,Western,N/A,EBA,2,6,1,1,0,0,0.5,0,0,1,2.5,2.5,6,0,2
rocko,Minnesota Huskies,Eastern,N/A,EBA,3,28.333,2.333,11.667,1,0,1.333,0,1.667,6.333,8,11,14.333,1,2
Drooplits,Free Agents,N/A,N/A,EBA,2,3.5,1,3,0,0,0,0,0,0.5,1,1.5,3,0,2
P8O,Free Agents,N/A,N/A,EBA,2,10.5,2,8.5,0,0,1.5,0,0,1.5,4,4.5,7.5,1,1
genoc9de,New York Knights,Eastern,N/A,EBA,4,18.5,2.75,9.5,0,0,2.5,0,0.5,3,6.25,7.5,14.5,0,4
MojoMajin,Nashville Anthem,Western,N/A,EBA,2,40.5,1,14.5,0,0,2.5,0,5.5,7,8.5,16.5,22,1,1
linc,Houston Hornets,Western,N/A,EBA,3,17.667,1.333,2.333,0,0,1.667,0,0.333,4,5.667,6.667,9.333,1,2
Hira,Nashville Anthem,Western,N/A,EBA,4,34.25,5.25,4.25,0.25,1,1.25,0,0.25,3.5,5.25,14.5,16.75,3,1
tacshady,Free Agents,N/A,N/A,EBA,4,4.25,5,1.5,0,0.5,1.25,0,0.5,0.75,1.25,1.75,3.25,1,3
OnlyDae,Miami Beach Kings,Eastern,N/A,EBA,2,8.5,4,3.5,0.5,0,3.5,0,0,1,1,3.5,4,1,1
cahpn,Washington Volt,Western,N/A,EBA,4,14.5,2.25,2,0,0.75,1.5,0,1.5,3.5,5,5.5,8.5,1,3
uwu,Free Agents,N/A,N/A,EBA,2,3,1,2,0,1,0.5,0,1,0,0,1.5,1.5,0,2
Monkey,Toronto Terror,Eastern,N/A,EBA,4,2.25,0,0,0,0,0,0,0,0.25,0.5,1,1.5,4,0
Keron,Free Agents,N/A,N/A,EBA,2,10,4,2,0,2,1,0,1.5,0.5,0.5,4.5,7,0,2
1Oreoi,Houston Hornets,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hoopslifeogpark,Free Agents,N/A,N/A,EBA,2,12.5,1.5,0.5,1.5,0.5,0,0,0.5,1.5,2.5,5.5,7.5,1,1
InsertedScoring,Free Agents,N/A,N/A,EBA,2,2.5,6,1.5,0,0.5,0,0,1,0.5,1.5,1,2,1,1
tony,Free Agents,N/A,N/A,EBA,4,10.5,1.75,2.75,0.5,0,1.75,0,0,2.75,4.25,3.75,5.5,1,3
Lol,Minnesota Huskies,Eastern,N/A,EBA,1,43,1,3,0,0,0,0,0,11,12,15,18,1,0
KENSINGTON ZOMBIE,Houston Hornets,Western,N/A,EBA,2,2.5,0.5,1,0,0,0,0,0,0.5,0.5,1,2,1,1
Nedev,Free Agents,N/A,N/A,EBA,3,2,1,2.333,0.333,0.333,0,0,0.667,0.667,0.667,0.667,1.333,3,0
ColdFrozenYogurt,Free Agents,N/A,N/A,EBA,1,11,7,4,0,0,2,0,0,3,6,4,8,0,1
dissipate,Free Agents,N/A,N/A,EBA,4,2.25,0.25,0.25,0,0,0.25,0,0,0.75,1.5,0.75,1.5,3,1
gam1ngdca,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gixg,Free Agents,N/A,N/A,EBA,2,6.5,2,1.5,0,0,0.5,0,0,2,3.5,2,3.5,1,1
adrielxxx6,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheSkullMaster88,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kevdaw,Phoenix Power,Western,N/A,EBA,4,9.5,3.25,3.75,0,1,2,0,1.5,1.25,2.25,4,6.5,1,3
RBW4GLUEGUY,Las Vegas Thrill,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clutch_football8,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Messi_30win,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lggysUncle,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ummmmmboy147,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NatePlayz2409,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King_goat13345,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ItsSlezin,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ironman_cool12345,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chestpassing,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amiIIolive,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLXCKTRXPS,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EagleBros1013,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lildonald2015,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edd1e1212,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTB_JAY249,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyett_351,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3ft_nu134,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swervo30three,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calidatboi_14,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mdot449,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herojunebug0523,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPLE_ONIONDUDE2,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Caqueii1,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pqpqpqpqpqpqpqotu,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BillBill_45,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuxshake908,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shaundaaa,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cantguard_jeff,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40X_Klot,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YTCantGuardJay,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahqjjbs,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urfavmonkey54,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jayjetss,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tw5gz,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zolly2x,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tariq_him2,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99vipered,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caybeast16z,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marvins_1,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gloshewrote,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1ltiou,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lolrandomnames,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klu,Houston Hornets,Western,N/A,EBA,2,20,0.5,3.5,0,0,1,0,0.5,5.5,8,7,10.5,1,1
mehwon88,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarik0813,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnnysisz123,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6sqzz,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asussysausage,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trevonisn,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MrGabiiii,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Playgroundbaskplayer,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
divyhn,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1x2x3pz1,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juicose,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalty_x,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wildbuzzz,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sluncexd,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lfqd,Free Agents,N/A,N/A,EBA,2,12,1,1.5,0,0,1.5,0,0.5,3,4.5,4.5,7,1,1
shehatesmyego,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hiytghht,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingcj2009chris,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JussJaaa,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hando5x,Oregon Skyhawks,Western,N/A,EBA,1,37,0,5,0,0,0,0,0,5,7,16,19,0,1
Kevingod192,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noahissabuxket,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qwertyy2x,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dannyy,Baltimore Nighthawks,Eastern,N/A,EBA,2,11.5,2.5,12,0,0,1.5,0,0.5,2.5,4.5,4.5,7,1,1
Richcjso,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LamaJJenkins,Chicago Aces,Eastern,N/A,EBA,4,13.5,3.5,1.25,0.5,1.25,2.25,0,1.75,1,1.75,5.75,7.75,3,1
Dlo,Free Agents,N/A,N/A,EBA,1,11,5,15,2,0,2,0,2,3,5,4,8,1,0
DaTrueSilver,Seattle Reign,Western,N/A,EBA,2,17,1.5,4.5,0,0,0.5,0,0,5.5,7,5.5,7,2,0
gIueguyy,Chicago Aces,Eastern,N/A,EBA,3,3.333,10.333,3,0,1,1.333,0,0,0.667,2,1.333,3,2,1
doppiolongthing,Minnesota Huskies,Eastern,N/A,EBA,1,17,3,2,0,3,0,0,1,3,3,7,9,1,0
aain,Portland Vipers,Western,N/A,EBA,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2influenced,Las Vegas Thrill,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomboygirl,Charlotte Empire,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yard,New York Knights,Eastern,N/A,EBA,1,15,1,1,0,0,0,0,0,4,4,5,6,0,1
Doodi,Free Agents,N/A,N/A,EBA,2,11.5,4,0,0,4.5,2,0,0.5,0.5,0.5,5.5,7.5,2,0
grim,Free Agents,N/A,N/A,EBA,2,4,5.5,0.5,0,0.5,0,0,0,0,0,2,4,0,2
inertia,Sacramento Rage,Western,N/A,EBA,2,30,3,1,0,0,1.5,0,0.5,4,4.5,13,18.5,0,2
deej,Chicago Aces,Eastern,N/A,EBA,5,23.8,2.8,15.8,0,0,2.8,0,1.4,3.6,6,9.8,14.2,4,1
NikeBandz_Playz,Free Agents,N/A,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
breeze,Toronto Terror,Eastern,N/A,EBA,8,21.25,3.25,4.5,0.125,0.75,1.625,0,1.375,3.625,4.5,8.625,11,8,0
Cy_clone,Orlando Supernovas,Eastern,N/A,EBA,5,7,1.2,5,1.2,0,1.4,0,1,1.4,3.2,2.8,5,3,2
tinyboatbike,Phoenix Power,Western,N/A,EBA,5,16,2,3,0,0.6,1,0,0.4,2,3.4,7,12,1,4
tapa,Mexico City Aztecs,Western,N/A,EBA,3,18,1,8.333,2,0.333,1.333,0,2.667,4,6.333,7,10.333,0,3
femi,Minnesota Huskies,Eastern,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9magic,Philadelphia Glory,Eastern,N/A,EBA,3,12.333,1.333,3,0,0,0.667,0,0,2,4.333,5,8.667,3,0
pay1of1,Charlotte Empire,Eastern,N/A,EBA,3,26.667,2,4.333,2.333,0,1.667,0,0.333,7.333,12,9.667,17,1,2
safey,Charlotte Empire,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceo,Free Agents,N/A,N/A,EBA,3,1.667,1.667,1,0.333,0.667,0.667,0,0,0.333,0.667,0.667,1,2,1
benny,Las Vegas Thrill,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dallas,Atlanta Breeze,Eastern,N/A,EBA,6,28.333,1.833,17.667,2,0,5.5,0,1.833,4.333,7.667,10.833,17.833,4,2
xyz,Free Agents,N/A,N/A,EBA,1,6,0,2,1,0,1,0,1,2,2,2,2,0,1
Hype,Las Vegas Thrill,Western,N/A,EBA,2,34,3,8,0,0,3.5,0,1,6,9.5,13.5,20,1,1
EternalAtake,Free Agents,N/A,N/A,EBA,9,9.333,2.444,0.889,0,3.667,0.778,0,1.111,2,2.444,3.667,4.667,6,3
NERVIN5,Free Agents,N/A,N/A,EBA,1,0,1,1,0,0,2,0,0,0,3,0,3,0,1
sel,Free Agents,N/A,N/A,EBA,2,7.5,1,1,0,0,0.5,0,0.5,2.5,4,2.5,4,1,1
ExclusiveTrade,Free Agents,N/A,N/A,EBA,1,9,1,6,1,0,4,0,1,3,5,3,5,0,1
Carti,Phoenix Power,Western,N/A,EBA,4,20.5,2.75,1,1.25,0.5,1,0,1,4.25,6,8,10.5,1,3
Oreo,Detroit Bullets,Eastern,N/A,EBA,1,12,4,5,0,0,2,0,0,0,0,6,10,0,1
JoshJacobs,Free Agents,N/A,N/A,EBA,2,15.5,1,4,1.5,0,3.5,0,0.5,3.5,4.5,5.5,9,0,2
Cowz,Free Agents,N/A,N/A,EBA,1,34,4,7,0,0,1,0,1,2,7,15,22,1,0
funnybear6,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
god,Free Agents,N/A,N/A,EBA,2,17,2,4.5,0,1.5,1.5,0,0.5,3,3.5,7,9.5,1,1
Jelly,Free Agents,N/A,N/A,EBA,1,14,1,1,0,0,2,0,0,4,7,5,8,1,0
Blitz,Free Agents,N/A,N/A,EBA,1,3,3,1,1,0,0,0,0,1,2,1,2,1,0
Batman,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luke,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sharp,Orlando Supernovas,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12zefd,Phoenix Power,Western,N/A,EBA,3,8,5,2.333,0,0,3.333,0,0.333,1.333,3.333,3,6,0,3
ert,Phoenix Power,Western,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tendeds,Charlotte Empire,Eastern,N/A,EBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jorge,Nashville Anthem,Western,N/A,EBA,5,19.2,2,9.4,3.6,0,1.4,0,1.4,4.6,7.2,6.6,10.6,3,2
mond,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pain,Free Agents,N/A,N/A,EBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
goodgirl,Orlando Supernovas,Eastern,N/A,EBA,2,7.5,5,1,0,3,1.5,0,1.5,1.5,2,3,4,1,1
